time,open,high,low,close,volume
2021-02-23 12:36:00,183.76,183.76,183.0,183.18,9783
2021-02-23 12:35:00,184.64,184.64,183.78,183.78,8307
2021-02-23 12:34:00,185.35,185.37,184.5001,184.64,11997
2021-02-23 12:33:00,184.955,185.32,184.8001,185.32,5574
2021-02-23 12:32:00,184.995,185.08,184.75,184.955,5524
2021-02-23 12:31:00,185.25,185.32,184.82,185.0,3674
2021-02-23 12:30:00,185.383,185.69,185.22,185.23,3172
2021-02-23 12:29:00,185.48,185.6415,185.11,185.395,3857
2021-02-23 12:28:00,185.4,185.7253,185.26,185.29,3219
2021-02-23 12:27:00,185.695,185.72,185.465,185.465,6112
2021-02-23 12:26:00,185.05,185.66,185.05,185.66,7996
2021-02-23 12:25:00,184.69,185.09,184.6001,184.95,13254
2021-02-23 12:24:00,184.67,184.95,184.59,184.71,4989
2021-02-23 12:23:00,184.76,184.76,184.56,184.59,3402
2021-02-23 12:22:00,185.135,185.135,184.69,184.855,4677
2021-02-23 12:21:00,185.27,185.27,185.05,185.125,3500
2021-02-23 12:20:00,185.19,185.32,184.96,185.2975,5656
2021-02-23 12:19:00,185.0,185.39,184.9001,185.2001,7518
2021-02-23 12:18:00,184.01,185.15,184.01,185.0851,11010
2021-02-23 12:17:00,183.765,184.03,183.765,184.0,5409
2021-02-23 12:16:00,184.0,184.099,183.59,183.83,11333
2021-02-23 12:15:00,183.605,184.1469,183.4001,183.8401,6132
2021-02-23 12:14:00,183.89,183.89,183.3501,183.54,5483
2021-02-23 12:13:00,184.69,184.8173,183.1801,183.33,10449
2021-02-23 12:12:00,184.3908,184.67,184.3908,184.67,2957
2021-02-23 12:11:00,184.0101,184.59,184.0101,184.59,3805
2021-02-23 12:10:00,184.235,184.44,184.0101,184.267,5060
2021-02-23 12:09:00,184.35,184.35,184.0001,184.1936,11708
2021-02-23 12:08:00,184.835,184.835,184.35,184.4,4894
2021-02-23 12:07:00,185.1301,185.17,184.67,184.67,4661
2021-02-23 12:06:00,185.23,185.31,184.99,185.14,8267
2021-02-23 12:05:00,185.39,185.58,185.2026,185.2026,6878
2021-02-23 12:04:00,185.405,185.52,185.2901,185.52,4211
2021-02-23 12:03:00,185.975,185.975,185.34,185.34,9699
2021-02-23 12:02:00,185.715,186.07,185.6168,185.98,4091
2021-02-23 12:01:00,185.35,185.83,185.3,185.8299,10350
2021-02-23 12:00:00,185.72,185.83,185.0201,185.57,9679
2021-02-23 11:59:00,185.82,185.85,185.5345,185.85,2607
2021-02-23 11:58:00,185.67,185.93,185.5,185.7105,5708
2021-02-23 11:57:00,185.5401,185.9,185.5401,185.71,4306
2021-02-23 11:56:00,186.705,186.71,185.684,185.684,5224
2021-02-23 11:55:00,186.36,186.74,186.36,186.7,4177
2021-02-23 11:54:00,186.05,186.33,185.82,186.315,3056
2021-02-23 11:53:00,186.3861,186.3861,185.4301,186.04,11566
2021-02-23 11:52:00,185.58,186.2343,185.3501,186.0001,10206
2021-02-23 11:51:00,185.26,185.5,185.1551,185.2989,4167
2021-02-23 11:50:00,184.9401,185.43,184.9401,185.34,5219
2021-02-23 11:49:00,185.3301,185.51,184.7401,185.07,6855
2021-02-23 11:48:00,185.14,185.65,185.01,185.505,6021
2021-02-23 11:47:00,184.77,185.48,184.77,185.205,3475
2021-02-23 11:46:00,184.3684,184.86,184.27,184.76,12261
2021-02-23 11:45:00,184.51,185.23,184.36,184.94,11352
2021-02-23 11:44:00,184.09,184.486,183.7,184.4721,9944
2021-02-23 11:43:00,185.9,185.9,184.0,184.0,21132
2021-02-23 11:42:00,185.81,186.0,185.66,185.69,3859
2021-02-23 11:41:00,185.975,186.2,185.97,185.985,4297
2021-02-23 11:40:00,186.0001,186.24,185.6853,185.6853,7045
2021-02-23 11:39:00,186.73,186.73,185.8801,186.01,6905
2021-02-23 11:38:00,186.93,186.93,186.2145,186.57,5166
2021-02-23 11:37:00,187.46,187.46,186.6701,187.005,11832
